Date,Subject,RootDirectory,Directory,Tag,StimulusSuite,Weight,Chamber,Rig,Electrode,Lens,oe2dat,StimulusProtocols,SpikeSorting,LfpPhaseCorrection,numChannels,numUnits,ElectrodeManufacturer,ImportFun,Eyetracker,numSingleUnit,GratingSubspace,shank,retx,rety,retc1,retc2,retc4,deadChan
05-Dec-0019,Logan,ForageMapping,Logan_2019-12-05_10-35-13_NeuronexusD9,logan_20191205,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,2,NeuroNexus,importFreeViewing,DDPIv1,0,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,13  14  16  20  41  45  47  51  53
06-Dec-0019,Logan,ForageMapping,Logan_2019-12-06_11-41-05_NeuronexusD10,logan_20191206,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,4,NeuroNexus,importFreeViewing,DDPIv1,0,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3   7  11  15  19  40  44  48
09-Dec-0019,Logan,ForageMapping,Logan_2019-12-09_10-38-50_NeuronexusD11,logan_20191209,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,NaN,64,7,NeuroNexus,importFreeViewing,DDPIv1,1,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,Error
10-Dec-0019,Logan,ForageMapping,Logan_2019-12-10_10-43-23_NeuronexusD12,logan_20191210,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,17,NeuroNexus,importFreeViewing,DDPIv1,3,1,7,0.400757582526083,9.16026193894105,0.152229850149227,-0.0814387261767075,8.29289198586095,Error
20-Dec-0019,Logan,ForageMapping,Logan_2019-12-20_10-25-55_NeuronexusD13,logan_20191220,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,8,NeuroNexus,importFreeViewing,DDPIv1,3,1,7,0.355953425057416,-0.652485531943832,0.212765987821145,-0.0172026224198043,0.174586881335607,3   7  11  15  19  40  44  48
23-Dec-0019,Logan,ForageMapping,Logan_2019-12-23_10-31-20_NeuronexusD14,logan_20191223,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,5,NeuroNexus,importFreeViewing,DDPIv1,2,1,7,0.110391544225219,-0.795899802096211,0.273517584669853,0.00187026542272046,0.334637728951538,3   7  11  15  19  40  44  48
24-Dec-0019,Logan,ForageMapping,Logan_2019-12-24_10-31-20_NeuronexusD15,logan_20191224,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,3,NeuroNexus,importFreeViewing,DDPIv1,0,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3   7  11  15  19  40  44
26-Dec-0019,Logan,ForageMapping,Logan_2019-12-26_10-29-07_NeuronexusD16,logan_20191226,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,40,NeuroNexus,importFreeViewing,DDPIv1,12,1,7,0.327299910148094,-0.614104992037608,0.106492013399045,0.021662206054134,0.599172005193948,3   7  11  15  19  40  44  48
27-Dec-0019,Logan,ForageMapping,Logan_2019-12-27_10-29-07_NeuronexusD17,logan_20191227,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,1,NeuroNexus,importFreeViewing,DDPIv1,0,1,7,0.220758279407582,-0.692079386326898,0.129052473879363,-0.0123488931046994,0.1521507927467,3   7  11  15  19  44
30-Dec-0019,Logan,ForageMapping,Logan_2019-12-30_10-29-07_NeuronexusD18,logan_20191230,MarmoV5,NaN,"V1",Propixx,ShankAn1,1,1,"",Kilo2,1,64,41,NeuroNexus,importFreeViewing,DDPIv1,8,1,7,0.22046376707837,-0.546553332052681,0.176980546663284,-0.00934069026089826,0.142452033635395,3   7  11  15  19  40  44  48
